id_horario;horario;id_pelicula
321;10:30:00;5
322;11:45:00;15
323;12:00:00;9
324;13:00:00;3
325;14:15:00;32
326;15:30:00;20
327;16:45:00;17
328;18:00:00;21
329;19:15:00;14
330;20:30:00;20
331;21:00:00;30
332;22:15:00;3
333;23:30:00;19
334;0:45:00;25
335;1:00:00;3
336;9:15:00;12
337;11:45:00;29
338;14:15:00;5
339;16:45:00;30
340;18:00:00;23
341;12:00:00;21
342;9:15:00;2
343;22:15:00;34
344;14:15:00;3
345;23:30:00;31
346;10:30:00;22
347;16:45:00;8
348;21:00:00;9
349;19:15:00;12
350;11:45:00;4
351;13:00:00;30
352;20:30:00;3
353;15:30:00;1
354;9:15:00;6
355;1:00:00;14
356;16:45:00;11
357;11:45:00;22
